parapluie,paraguas
Une robe,Un vestido
Une jupe,Una falda
un tablier,una bata
les gants,unos guantes
Une blouse,Una blusa
Un chemisier,Una camisa
les vetements,la ropa
le vetement,la prendo
casquette,la garra
la cravate,la corbata
les chaussettes,los calcetines
 le chapeau,un sombrero
le blouson,La cazadora
le pardessus/imperméable,una gabárdina 
écharpe,la bufanda 
lunettes ,las gafas
le pyjama, el pijama 
l'uniforme, el uniforme
sweat ,una sudodera
 ballerines ,los bailarinas
jogging,el chandal
Une chemise ,Una camisa
Un pantalon,Un pantalón
les pantalons,los pantalones
Un costume ,Un traje
Des collants ,Unas medias
Manteau,El abrigo
Le peignoir,Albornoz
La ceinture,El cinturón
Les chaussures,Los zapatos
Les baskets,Las zapatillas
Les bottes,Lo bottos
Le t-shirt,La camiseta
Des jeans,El vaquero